name,ST,Clin/Env,Year,Outbreak
ID_1190176_2010,578,E,2010,Alcoi18
ID_1925_2004,578,E,2004,Sporadic
ID_2301_1999,578,C,1999,Alcoi1
ID_2376_1999,578,C,1999,Alcoi1
ID_2680_2000,578,C,2000,Alcoi1
ID_3009_2000,578,C,2000,Alcoi2
ID_3108_2000,578,C,2000,Alcoi3
ID_3109_2000,578,C,2000,Alcoi3
ID_3110_2000,578,C,2000,Alcoi3
ID_3355_2000,578,C,2000,Alcoi3
ID_3499_2001,578,C,2001,Sporadic
ID_3785_2001,578,C,2001,Alcoi4
ID_3786_2001,578,C,2001,Sporadic
ID_3908_2001,578,C,2001,Alcoi4
ID_480203_2009,578,C,2009,Alcoi16
ID_480263_2009,578,C,2009,Sporadic
ID_480295_2009,578,C,2009,Alcoi16
ID_480372_2009,578,C,2009,Alcoi16
ID_480392_2009,578,C,2009,Alcoi16
ID_481107_2009,578,C,2009,Alcoi17
ID_481441_2009,578,C,2009,Alcoi17
ID_481707_2009,578,C,2009,Alcoi17
ID_481710_2009,578,C,2009,Alcoi17
ID_481898_2009,578,C,2009,Sporadic
ID_481944_2009,578,C,2009,Sporadic
ID_489154_2010,578,C,2010,Sporadic
ID_489571_2010,578,C,2010,Alcoi18
ID_489956_2010,578,C,2010,Alcoi18
ID_490456_2010,578,C,2010,Sporadic
ID_490679_2010,578,C,2010,Alcoi18
ID_490738_2010,578,C,2010,Alcoi18
ID_5228_2002,578,C,2002,Sporadic
ID_5856_2002,578,C,2002,Alcoi5
ID_6536_2002,578,C,2002,Alcoi7
ID_7147_2003,578,C,2003,Alcoi8
ID_7371_2003,578,C,2003,Sporadic
ID_747968_2009,578,E,2009,Alcoi16
ID_747969_2009,578,E,2009,Alcoi16
ID_747973_2009,578,E,2009,Alcoi16
ID_8004_2003,578,C,2003,Sporadic
ID_8141_2003,578,C,2003,Alcoi11
ID_8189_2003,578,C,2003,Alcoi11
ID_8190_2003,578,C,2003,Alcoi11
ID_8227_2003,578,C,2003,Alcoi11
ID_8228_2003,578,C,2003,Alcoi11
Lp_Alcoy_1999,578,C,1999,Reference
ID_3164_2000,51,E,2000,Alcoi3